Statistical profiling result from isolate-0x82080c000-47318-v8-47318.log, (9016 ticks, 4124 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     18    0.2%          /opt/homebrew/Cellar/node@22/22.21.1_4/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      2    0.0%    0.0%  Builtin: CallVarargs
      2    0.0%    0.0%  Builtin: BitwiseAnd_Baseline
      2    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      2    0.0%    0.0%  Builtin: Add_Baseline
      1    0.0%    0.0%  RegExp: ^\s*?<
      1    0.0%    0.0%  RegExp: %2F|%5C
      1    0.0%    0.0%  JS: ~handleRequest file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:150:31
      1    0.0%    0.0%  JS: ~bodyParser /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-bodyparser/index.js:63:35
      1    0.0%    0.0%  JS: ^writeHead node:_http_server:351:19
      1    0.0%    0.0%  JS: ^set router file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/extend/context.js:79:15
      1    0.0%    0.0%  JS: ^resetState node:internal/deps/cjs-module-lexer/lexer:17:21
      1    0.0%    0.0%  JS: ^resOnFinish node:_http_server:1007:21
      1    0.0%    0.0%  JS: ^reportModuleNotFoundToWatchMode node:internal/modules/cjs/loader:308:41
      1    0.0%    0.0%  JS: ^remove node:internal/linkedlist:16:16
      1    0.0%    0.0%  JS: ^rangeMiddleware file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/dist/app/middleware/static.js:10:29
      1    0.0%    0.0%  JS: ^postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:36:21
      1    0.0%    0.0%  JS: ^onParserExecute node:_http_server:874:25
      1    0.0%    0.0%  JS: ^notfound file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/notfound.js:2:35
      1    0.0%    0.0%  JS: ^load node:internal/modules/esm/loader:805:7
      1    0.0%    0.0%  JS: ^isEncoding node:buffer:572:40
      1    0.0%    0.0%  JS: ^hasbody /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/node_modules/type-is/index.js:93:18
      1    0.0%    0.0%  JS: ^getStore node:internal/async_local_storage/async_hooks:109:11
